date,open,high,low,close,volume,dividend,split
2005-01-03,121.56,121.76,119.9,87.14,55748000.0,0.0,1
2005-01-04,120.46,120.54,118.44,86.07,69167600.0,0.0,1
2005-01-05,118.74,119.25,118.0,85.48,65667300.0,0.0,1
2005-01-06,118.44,119.15,118.26,85.91,47814700.0,0.0,1
2005-01-07,118.97,119.23,118.13,85.79,55847700.0,0.0,1
2005-01-10,118.34,119.46,118.34,86.19,56563300.0,0.0,1
2005-01-11,118.64,118.74,117.99,85.6,63099700.0,0.0,1
2005-01-12,118.4,118.84,117.52,85.88,72720500.0,0.0,1
2005-01-13,118.64,118.73,117.5,85.2,55537500.0,0.0,1
2005-01-14,117.97,118.53,117.76,85.64,42032500.0,0.0,1
2005-01-18,118.05,119.62,117.95,86.54,57391700.0,0.0,1
2005-01-19,119.43,119.52,118.21,85.63,54378900.0,0.0,1
2005-01-20,117.89,118.2,117.29,85.11,72049300.0,0.0,1
2005-01-21,117.79,118.0,116.65,84.59,63160400.0,0.0,1
2005-01-24,117.09,117.34,116.37,84.42,58441900.0,0.0,1
2005-01-25,116.91,117.47,116.72,84.66,68245000.0,0.0,1
2005-01-26,117.32,117.6,117.04,84.91,57195100.0,0.0,1
2005-01-27,117.19,117.75,116.98,85.06,55878800.0,0.0,1
2005-01-28,117.49,117.55,116.61,85.06,60738900.0,0.0,1
2005-01-31,117.95,118.25,117.71,85.59,52532700.0,0.0,1
2005-02-01,118.25,119.08,118.1,86.13,49841200.0,0.0,1
2005-02-02,119.06,119.59,118.9,86.39,52468900.0,0.0,1
2005-02-03,119.06,119.16,118.57,86.17,48837100.0,0.0,1
2005-02-04,119.0,120.43,118.98,87.09,50024600.0,0.0,1
2005-02-07,120.25,120.52,119.96,86.97,45412000.0,0.0,1
2005-02-08,120.17,120.65,120.07,87.07,39263500.0,0.0,1
2005-02-09,120.42,120.49,119.25,86.42,55279400.0,0.0,1
2005-02-10,119.66,120.02,119.26,86.73,45858600.0,0.0,1
2005-02-11,119.7,121.04,119.46,87.48,53133000.0,0.0,1
2005-02-14,120.69,120.86,120.48,87.41,32432100.0,0.0,1
2005-02-15,120.8,121.43,120.68,87.74,43852700.0,0.0,1
2005-02-16,120.93,121.46,120.67,87.8,55523000.0,0.0,1
2005-02-17,121.23,121.33,120.22,87.09,58124000.0,0.0,1
2005-02-18,120.24,120.48,119.9,87.2,47723300.0,0.0,1
2005-02-22,119.9,120.47,118.58,85.9,80697600.0,0.0,1
2005-02-23,118.93,119.57,118.62,86.52,68292600.0,0.0,1
2005-02-24,119.24,120.32,118.98,87.09,68563600.0,0.0,1
2005-02-25,120.27,121.67,120.18,87.95,60899900.0,0.0,1
2005-02-28,121.15,121.3,120.04,87.38,69381300.0,0.0,1
2005-03-01,120.82,121.52,120.78,87.81,47294400.0,0.0,1
2005-03-02,120.76,121.93,120.65,87.77,64226500.0,0.0,1
2005-03-03,121.66,121.9,120.7,87.8,61230800.0,0.0,1
2005-03-04,122.05,122.83,121.79,88.9,56168500.0,0.0,1
2005-03-07,122.66,123.25,122.4,88.94,43442400.0,0.0,1
2005-03-08,122.67,123.0,122.11,88.61,44362000.0,0.0,1
2005-03-09,121.97,122.29,120.96,87.62,73263600.0,0.0,1
2005-03-10,121.2,121.5,120.4,87.82,65149000.0,0.0,1
2005-03-11,121.31,121.72,120.16,87.2,57976500.0,0.0,1
2005-03-14,120.61,121.16,120.28,87.74,36336400.0,0.0,1
2005-03-15,121.42,121.46,120.08,87.02,62438500.0,0.0,1
2005-03-16,119.7,120.16,118.9,86.28,74874200.0,0.0,1
2005-03-17,119.31,119.74,118.98,86.46,62584200.0,0.0,1
2005-03-18,119.11,119.53,118.15,86.2,60232000.0,0.0,1
2005-03-21,118.71,118.78,117.76,85.88,61244300.0,0.0,1
2005-03-22,118.37,118.93,116.9,85.01,92472400.0,0.0,1
2005-03-23,116.95,117.72,116.75,85.08,70817300.0,0.0,1
2005-03-24,117.46,117.99,117.06,85.18,51932500.0,0.0,1
2005-03-28,117.42,117.94,117.31,85.3,46765500.0,0.0,1
2005-03-29,117.14,117.9,116.25,84.74,71160300.0,0.0,1
2005-03-30,116.78,118.2,116.77,85.94,62002100.0,0.0,1
2005-03-31,118.19,118.46,117.87,85.78,64575400.0,0.0,1
2005-04-01,118.63,118.99,116.91,85.39,95255300.0,0.0,1
2005-04-04,117.36,117.86,116.74,85.54,71581200.0,0.0,1
2005-04-05,117.78,118.38,117.67,85.94,46853900.0,0.0,1
2005-04-06,118.45,118.95,118.18,86.24,53268200.0,0.0,1
2005-04-07,118.41,119.26,118.32,86.71,46734600.0,0.0,1
2005-04-08,119.17,119.21,118.0,85.81,63772900.0,0.0,1
2005-04-11,118.29,118.42,117.83,85.87,44945000.0,0.0,1
2005-04-12,117.89,119.06,117.07,86.31,86144800.0,0.0,1
2005-04-13,118.56,118.8,117.13,85.3,65949000.0,0.0,1
2005-04-14,117.4,117.5,115.77,84.18,96119800.0,0.0,1
2005-04-15,115.74,116.2,114.1,83.01,128677300.0,0.0,1
2005-04-18,114.12,114.96,113.96,83.26,100035200.0,0.0,1
2005-04-19,115.1,115.53,114.83,83.92,64930100.0,0.0,1
2005-04-20,115.38,115.63,113.55,82.75,107735900.0,0.0,1
2005-04-21,114.79,116.21,114.38,84.36,86952200.0,0.0,1
2005-04-22,115.74,116.5,114.27,84.04,88845800.0,0.0,1
2005-04-25,115.86,116.5,115.72,84.59,52284100.0,0.0,1
2005-04-26,115.96,116.77,115.15,83.77,72626000.0,0.0,1
2005-04-27,114.86,116.07,114.44,84.1,84131900.0,0.0,1
2005-04-28,115.27,115.68,114.2,83.04,72481500.0,0.0,1
2005-04-29,115.07,115.87,113.97,84.17,103993800.0,0.0,1
2005-05-02,116.07,116.41,115.52,84.64,56026400.0,0.0,1
2005-05-03,116.07,116.85,115.69,84.79,86000300.0,0.0,1
2005-05-04,116.65,117.75,116.28,85.44,81055700.0,0.0,1
2005-05-05,117.67,118.0,116.74,85.41,96906700.0,0.0,1
2005-05-06,117.93,117.99,117.06,85.14,67415400.0,0.0,1
2005-05-09,117.21,118.08,117.05,85.68,43750500.0,0.0,1
2005-05-10,117.36,117.5,116.39,84.79,74613500.0,0.0,1
2005-05-11,116.93,117.4,115.85,85.25,91647400.0,0.0,1
2005-05-12,117.32,117.59,115.95,84.32,95086800.0,0.0,1
2005-05-13,116.3,116.62,114.8,84.15,85267000.0,0.0,1
2005-05-16,115.7,116.84,115.66,84.93,49207000.0,0.0,1
2005-05-17,116.41,117.7,116.16,85.5,61071800.0,0.0,1
2005-05-18,118.09,119.08,118.01,86.38,77944900.0,0.0,1
2005-05-19,119.02,119.41,118.7,86.74,61768100.0,0.0,1
2005-05-20,119.34,119.39,118.74,86.62,46345500.0,0.0,1
2005-05-23,119.21,120.04,119.19,87.1,51047900.0,0.0,1
2005-05-24,119.44,119.83,119.2,86.9,50654100.0,0.0,1
2005-05-25,119.35,119.87,118.83,86.83,47608800.0,0.0,1
2005-05-26,119.79,120.21,119.62,87.3,43256200.0,0.0,1
2005-05-27,120.06,120.25,119.8,87.44,24596100.0,0.0,1
2005-05-31,120.08,120.17,119.4,86.88,43377200.0,0.0,1
2005-06-01,119.52,120.92,119.45,87.62,69611000.0,0.0,1
2005-06-02,120.23,120.84,120.1,87.81,39704500.0,0.0,1
2005-06-03,120.55,120.89,119.73,87.37,60999400.0,0.0,1
2005-06-06,119.95,120.2,119.55,87.29,36046400.0,0.0,1
2005-06-07,120.39,121.25,120.01,87.35,66501300.0,0.0,1
2005-06-08,120.43,120.59,119.67,87.19,46881200.0,0.0,1
2005-06-09,119.74,120.58,119.44,87.61,56653300.0,0.0,1
2005-06-10,120.56,120.65,119.6,87.41,36465300.0,0.0,1
2005-06-13,119.94,121.08,119.81,87.68,49383200.0,0.0,1
2005-06-14,120.45,121.2,120.38,87.89,33857100.0,0.0,1
2005-06-15,121.16,121.24,120.23,88.05,53195600.0,0.0,1
2005-06-16,121.06,121.64,120.92,88.28,46564500.0,0.0,1
2005-06-17,121.54,121.9,121.22,88.61,51529400.0,0.0,1
2005-06-20,121.08,121.84,120.94,88.63,41019400.0,0.0,1
2005-06-21,121.5,121.65,121.03,88.69,39879800.0,0.0,1
2005-06-22,121.68,121.94,121.07,88.76,46310100.0,0.0,1
2005-06-23,121.32,121.6,119.83,87.51,62185600.0,0.0,1
2005-06-24,119.88,120.01,118.84,86.87,58572500.0,0.0,1
2005-06-27,118.97,119.41,118.75,86.99,48183800.0,0.0,1
2005-06-28,119.4,120.24,119.37,87.72,41174200.0,0.0,1
2005-06-29,120.37,120.4,119.76,87.49,42316500.0,0.0,1
2005-06-30,120.22,120.32,118.95,87.01,62288800.0,0.0,1
2005-07-01,119.45,119.8,119.21,87.27,49737500.0,0.0,1
2005-07-05,119.25,120.65,119.19,87.97,51549000.0,0.0,1
2005-07-06,120.39,120.65,119.41,87.23,52363600.0,0.0,1
2005-07-07,118.29,119.95,118.26,87.58,103268800.0,0.0,1
2005-07-08,119.97,121.32,119.72,88.58,64491200.0,0.0,1
2005-07-11,121.33,122.1,121.31,89.03,49688300.0,0.0,1
2005-07-12,121.99,122.63,121.64,89.26,51871100.0,0.0,1
2005-07-13,122.27,122.52,121.99,89.39,41182300.0,0.0,1
2005-07-14,122.98,123.44,122.49,89.74,63638800.0,0.0,1
2005-07-15,122.79,123.04,122.36,89.69,56075900.0,0.0,1
2005-07-18,122.5,122.63,122.05,89.33,56598400.0,0.0,1
2005-07-19,122.71,123.11,122.41,89.82,59165700.0,0.0,1
2005-07-20,122.59,123.73,122.3,90.12,69477000.0,0.0,1
2005-07-21,123.55,123.61,122.47,89.6,101110900.0,0.0,1
2005-07-22,122.88,123.56,122.63,90.2,52607100.0,0.0,1
2005-07-25,123.41,123.95,122.85,89.94,57301600.0,0.0,1
2005-07-26,123.23,123.53,122.95,90.05,42758800.0,0.0,1
2005-07-27,123.5,123.89,123.05,90.38,43181600.0,0.0,1
2005-07-28,123.96,124.64,123.64,90.95,47880700.0,0.0,1
2005-07-29,124.41,124.63,123.5,90.34,62358100.0,0.0,1
2005-08-01,123.83,124.04,123.45,90.28,40418200.0,0.0,1
2005-08-02,123.87,124.6,123.74,90.82,45147400.0,0.0,1
2005-08-03,124.25,124.74,124.12,91.06,36837200.0,0.0,1
2005-08-04,124.23,124.31,123.57,90.33,50855600.0,0.0,1
2005-08-05,123.45,123.98,122.67,89.72,53595500.0,0.0,1
2005-08-08,123.15,123.41,122.38,89.55,47616000.0,0.0,1
2005-08-09,123.06,123.59,122.87,90.09,47170000.0,0.0,1
2005-08-10,123.82,124.5,122.82,90.04,72863700.0,0.0,1
2005-08-11,123.27,124.03,123.01,90.4,58570200.0,0.0,1
2005-08-12,123.57,123.69,122.75,89.85,54776900.0,0.0,1
2005-08-15,123.22,123.87,122.83,90.4,36208500.0,0.0,1
2005-08-16,123.44,123.52,122.09,89.23,71942100.0,0.0,1
2005-08-17,122.19,122.87,122.03,89.22,62275100.0,0.0,1
2005-08-18,122.05,122.56,121.84,89.21,53388600.0,0.0,1
2005-08-19,122.63,122.82,122.2,89.42,39842100.0,0.0,1
2005-08-22,122.58,123.23,121.88,89.42,69912000.0,0.0,1
2005-08-23,122.5,122.61,121.15,89.25,55168600.0,0.0,1
2005-08-24,121.94,122.73,121.09,88.45,79104600.0,0.0,1
2005-08-25,121.35,121.67,121.21,88.77,35631100.0,0.0,1
2005-08-26,121.48,121.49,120.68,88.17,61956800.0,0.0,1
2005-08-29,120.41,121.78,120.38,88.85,56179200.0,0.0,1
2005-08-30,121.25,121.3,120.39,88.38,74160200.0,0.0,1
2005-08-31,121.19,122.66,120.74,89.5,102945200.0,0.0,1
2005-09-01,122.52,123.15,121.14,89.43,74578700.0,0.0,1
2005-09-02,122.85,122.88,122.04,89.27,47653400.0,0.0,1
2005-09-06,122.66,123.8,122.65,90.31,57251300.0,0.0,1
2005-09-07,123.63,124.13,123.46,90.47,41749700.0,0.0,1
2005-09-08,123.66,124.0,123.31,90.17,39068700.0,0.0,1
2005-09-09,123.83,124.74,123.8,90.97,43093900.0,0.0,1
2005-09-12,124.45,124.67,124.27,90.79,33017600.0,0.0,1
2005-09-13,124.13,124.42,123.52,90.28,58427500.0,0.0,1
2005-09-14,123.74,123.92,123.02,89.96,57694600.0,0.0,1
2005-09-15,123.59,123.65,122.9,89.91,73156900.0,0.0,1
2005-09-16,123.3,123.74,122.87,90.55,75424100.0,0.0,1
2005-09-19,123.47,123.55,122.64,90.25,53355300.0,0.0,1
2005-09-20,123.2,123.61,121.87,89.49,84480300.0,0.0,1
2005-09-21,121.79,121.87,120.78,88.65,94469100.0,0.0,1
2005-09-22,120.95,121.66,120.44,88.97,84597200.0,0.0,1
2005-09-23,121.24,121.89,120.9,89.04,59368100.0,0.0,1
2005-09-26,122.02,122.24,121.08,89.14,70415400.0,0.0,1
2005-09-27,121.52,121.99,121.02,89.12,66150800.0,0.0,1
2005-09-28,121.93,122.12,121.2,89.21,58620500.0,0.0,1
2005-09-29,121.55,122.86,121.08,89.94,66607700.0,0.0,1
2005-09-30,122.62,123.04,121.74,90.21,47824200.0,0.0,1
2005-10-03,122.96,123.34,122.45,89.89,50994800.0,0.0,1
2005-10-04,122.79,123.03,121.16,88.88,60776300.0,0.0,1
2005-10-05,121.25,121.31,119.57,87.71,106052100.0,0.0,1
2005-10-06,119.78,120.26,118.17,87.4,140941800.0,0.0,1
2005-10-07,119.7,120.05,119.13,87.7,75661400.0,0.0,1
2005-10-10,119.68,119.71,118.3,86.96,52677000.0,0.0,1
2005-10-11,118.99,119.39,118.32,86.83,75629800.0,0.0,1
2005-10-12,118.39,119.13,117.41,86.15,100510400.0,0.0,1
2005-10-13,117.46,118.08,116.88,86.1,99052900.0,0.0,1
2005-10-14,118.12,118.81,117.56,87.01,88651000.0,0.0,1
2005-10-17,118.8,119.27,118.45,87.33,68109300.0,0.0,1
2005-10-18,118.94,118.96,117.8,86.39,74996900.0,0.0,1
2005-10-19,117.5,119.8,117.12,87.82,116563800.0,0.0,1
2005-10-20,119.49,119.81,117.3,86.28,131966700.0,0.0,1
2005-10-21,118.29,118.78,117.51,86.61,96579500.0,0.0,1
2005-10-24,118.44,120.09,118.41,87.96,71308400.0,0.0,1
2005-10-25,119.72,120.24,118.94,87.78,76594500.0,0.0,1
2005-10-26,119.51,120.54,119.19,87.52,80855800.0,0.0,1
2005-10-27,119.2,119.37,117.93,86.59,66623100.0,0.0,1
2005-10-28,118.43,119.95,118.1,87.84,72322000.0,0.0,1
2005-10-31,120.29,121.3,120.13,88.08,77698900.0,0.0,1
2005-11-01,120.58,120.9,120.22,88.34,66365100.0,0.0,1
2005-11-02,120.17,121.75,120.13,89.27,74012300.0,0.0,1
2005-11-03,122.15,122.66,121.75,89.65,84897600.0,0.0,1
2005-11-04,122.4,122.46,121.55,89.53,59156000.0,0.0,1
2005-11-07,122.37,122.62,121.85,89.62,46765400.0,0.0,1
2005-11-08,121.93,122.42,121.79,89.62,42152800.0,0.0,1
2005-11-09,122.08,122.95,121.86,89.74,57666800.0,0.0,1
2005-11-10,122.34,123.52,121.75,90.43,79048100.0,0.0,1
2005-11-11,123.35,123.84,122.43,90.74,34867000.0,0.0,1
2005-11-14,123.79,124.02,123.38,90.69,45092200.0,0.0,1
2005-11-15,123.55,124.09,122.86,90.36,69592500.0,0.0,1
2005-11-16,123.37,123.55,122.98,90.54,51133000.0,0.0,1
2005-11-17,123.68,124.65,123.14,91.39,55717500.0,0.0,1
2005-11-18,125.06,125.28,124.33,91.75,72437200.0,0.0,1
2005-11-21,125.15,125.91,124.98,92.21,50021200.0,0.0,1
2005-11-22,125.56,126.52,125.42,92.6,66438800.0,0.0,1
2005-11-23,126.25,127.41,126.21,93.14,50854700.0,0.0,1
2005-11-25,126.98,127.22,126.81,93.21,15270000.0,0.0,1
2005-11-28,127.25,127.27,126.04,92.55,54498500.0,0.0,1
2005-11-29,126.65,126.98,126.09,92.45,51738900.0,0.0,1
2005-11-30,126.16,126.52,125.29,91.95,56007200.0,0.0,1
2005-12-01,126.02,127.03,125.98,92.89,65468200.0,0.0,1
2005-12-02,126.77,127.08,126.5,93.01,46699400.0,0.0,1
2005-12-05,126.7,126.73,126.18,92.81,59273400.0,0.0,1
2005-12-06,127.05,127.74,126.63,92.99,57935200.0,0.0,1
2005-12-07,126.77,126.87,125.68,92.44,66816500.0,0.0,1
2005-12-08,126.22,126.82,125.48,92.38,62608600.0,0.0,1
2005-12-09,126.16,126.78,125.82,92.63,50744500.0,0.0,1
2005-12-12,126.71,126.86,125.96,92.71,48389900.0,0.0,1
2005-12-13,126.42,127.7,126.29,93.35,88630900.0,0.0,1
2005-12-14,127.19,128.09,127.14,93.71,64375000.0,0.0,1
2005-12-15,127.84,128.0,127.18,93.44,55900300.0,0.0,1
2005-12-16,127.28,127.36,126.36,93.14,46238300.0,0.0,1
2005-12-19,126.73,126.87,125.69,92.66,48733000.0,0.0,1
2005-12-20,125.86,126.59,125.48,92.75,46603200.0,0.0,1
2005-12-21,126.22,126.76,125.8,92.9,51806900.0,0.0,1
2005-12-22,126.31,126.69,126.08,93.38,32247900.0,0.0,1
2005-12-23,126.78,126.86,126.42,93.43,27977300.0,0.0,1
2005-12-27,126.96,127.05,125.38,92.48,44499500.0,0.0,1
2005-12-28,125.74,125.99,125.5,92.69,30764300.0,0.0,1
2005-12-29,125.72,125.96,125.06,92.28,32788900.0,0.0,1
2005-12-30,124.8,125.06,124.36,91.78,44645600.0,0.0,1
2006-01-03,125.19,127.0,124.39,93.39,73256700.0,0.0,1
2006-01-04,126.86,127.49,126.7,93.83,51899600.0,0.0,1
2006-01-05,127.15,127.59,126.88,93.89,47307500.0,0.0,1
2006-01-06,128.02,128.58,127.36,94.67,62885900.0,0.0,1
2006-01-09,128.42,129.06,128.38,94.92,43527400.0,0.0,1
2006-01-10,128.39,128.98,128.26,95.01,44960800.0,0.0,1
2006-01-11,129.02,129.44,128.73,95.31,49598900.0,0.0,1
2006-01-12,129.08,129.28,128.44,94.94,40509200.0,0.0,1
2006-01-13,128.57,128.9,128.2,94.85,44856700.0,0.0,1
2006-01-17,128.2,128.42,127.81,94.59,52066600.0,0.0,1
2006-01-18,127.58,128.9,127.16,94.22,75067600.0,0.0,1
2006-01-19,128.13,128.77,127.81,94.58,81530400.0,0.0,1
2006-01-20,128.28,128.31,125.97,92.85,114957800.0,0.0,1
2006-01-23,126.21,126.82,126.13,93.18,67017400.0,0.0,1
2006-01-24,126.63,127.15,126.42,93.28,53008800.0,0.0,1
2006-01-25,127.04,127.18,125.84,93.36,87747700.0,0.0,1
2006-01-26,127.25,127.67,126.76,93.88,71294000.0,0.0,1
2006-01-27,127.66,128.66,127.45,94.75,65771200.0,0.0,1
2006-01-30,128.44,128.81,128.35,94.67,33709600.0,0.0,1
2006-01-31,128.32,128.54,127.49,93.98,72937000.0,0.0,1
2006-02-01,127.82,128.43,127.72,94.64,63561000.0,0.0,1
2006-02-02,128.1,128.14,126.8,93.54,83626900.0,0.0,1
2006-02-03,126.58,128.39,126.14,93.07,86040400.0,0.0,1
2006-02-06,126.44,126.8,126.17,93.32,45511900.0,0.0,1
2006-02-07,126.38,126.66,125.4,92.49,71208100.0,0.0,1
2006-02-08,125.85,128.1,125.6,93.33,59422200.0,0.0,1
2006-02-09,126.92,127.6,126.37,93.18,62023300.0,0.0,1
2006-02-10,126.43,127.13,125.45,93.35,64508700.0,0.0,1
2006-02-13,126.6,126.79,125.95,93.18,52308700.0,0.0,1
2006-02-14,126.46,128.03,126.21,94.16,90964400.0,0.0,1
2006-02-15,127.68,128.32,127.24,94.5,85471300.0,0.0,1
2006-02-16,128.34,129.21,128.18,95.2,61017900.0,0.0,1
2006-02-17,129.05,129.16,128.58,94.95,40342600.0,0.0,1
2006-02-21,129.11,129.4,128.29,94.71,46456300.0,0.0,1
2006-02-22,128.77,129.65,128.65,95.28,42326700.0,0.0,1
2006-02-23,129.27,129.64,128.28,95.14,43423200.0,0.0,1
2006-02-24,129.11,129.48,128.76,95.39,36777400.0,0.0,1
2006-02-27,129.4,130.04,129.28,95.42,35858600.0,0.0,1
2006-02-28,129.2,129.91,128.13,94.52,74394800.0,0.0,1
2006-03-01,128.6,129.49,128.5,95.36,48641600.0,0.0,1
2006-03-02,128.9,129.42,128.61,95.35,60642300.0,0.0,1
2006-03-03,128.67,130.07,128.65,94.91,73402500.0,0.0,1
2006-03-06,129.14,129.18,127.85,94.47,57478400.0,0.0,1
2006-03-07,127.86,128.06,127.4,94.33,61780800.0,0.0,1
2006-03-08,127.7,128.44,127.18,94.53,66692400.0,0.0,1
2006-03-09,128.28,128.68,127.38,93.89,56313600.0,0.0,1
2006-03-10,127.71,128.84,127.44,94.78,60490800.0,0.0,1
2006-03-13,128.84,129.16,128.53,94.96,45479100.0,0.0,1
2006-03-14,128.71,130.23,128.61,95.96,69877300.0,0.0,1
2006-03-15,130.15,130.86,129.85,96.38,53398900.0,0.0,1
2006-03-16,131.01,131.47,130.84,96.58,65526400.0,0.0,1
2006-03-17,130.68,130.9,130.38,96.66,47286800.0,0.0,1
2006-03-20,130.64,130.9,130.21,96.51,45538500.0,0.0,1
2006-03-21,130.37,130.99,129.45,95.9,87102700.0,0.0,1
2006-03-22,129.51,130.51,129.45,96.49,51605700.0,0.0,1
2006-03-23,130.26,130.39,129.66,96.29,46704200.0,0.0,1
2006-03-24,129.99,130.57,129.74,96.36,43209200.0,0.0,1
2006-03-27,130.03,130.28,129.74,96.22,32523000.0,0.0,1
2006-03-28,129.93,130.53,129.05,95.63,82079900.0,0.0,1
2006-03-29,129.41,130.5,129.29,96.23,61505700.0,0.0,1
2006-03-30,130.11,130.98,129.55,96.06,70571700.0,0.0,1
2006-03-31,130.02,130.24,129.37,96.08,62925600.0,0.0,1
2006-04-03,130.07,130.87,129.49,96.0,61624700.0,0.0,1
2006-04-04,129.73,130.73,129.36,96.62,54809300.0,0.0,1
2006-04-05,130.61,131.28,130.38,96.95,50607200.0,0.0,1
2006-04-06,130.85,131.21,130.19,96.85,57906200.0,0.0,1
2006-04-07,131.06,131.4,129.35,95.86,80180900.0,0.0,1
2006-04-10,129.74,130.08,129.26,96.01,41496500.0,0.0,1
2006-04-11,129.85,130.06,128.25,95.2,72799400.0,0.0,1
2006-04-12,128.77,129.13,128.61,95.38,43033700.0,0.0,1
2006-04-13,128.59,129.25,128.31,95.25,51051800.0,0.0,1
2006-04-17,128.83,129.31,128.02,95.21,64167700.0,0.0,1
2006-04-18,128.93,130.94,128.93,96.72,92531800.0,0.0,1
2006-04-19,130.75,131.07,130.24,96.91,87269000.0,0.0,1
2006-04-20,131.0,131.86,130.6,97.04,86005500.0,0.0,1
2006-04-21,131.69,131.79,130.62,97.05,72342600.0,0.0,1
2006-04-24,130.89,131.07,130.38,96.88,52546400.0,0.0,1
2006-04-25,131.04,131.12,129.92,96.48,84359800.0,0.0,1
2006-04-26,130.5,131.14,130.3,96.5,67262400.0,0.0,1
2006-04-27,129.9,131.63,129.59,96.97,124478600.0,0.0,1
2006-04-28,130.79,131.75,130.71,97.29,55854400.0,0.0,1
2006-05-01,131.47,131.8,130.32,96.5,64990300.0,0.0,1
2006-05-02,131.01,131.46,130.74,97.23,49063500.0,0.0,1
2006-05-03,131.15,131.32,130.45,96.86,60821300.0,0.0,1
2006-05-04,131.08,131.62,130.97,97.21,42921400.0,0.0,1
2006-05-05,132.05,132.8,131.85,98.07,62588200.0,0.0,1
2006-05-08,132.51,132.77,132.36,97.95,30016700.0,0.0,1
2006-05-09,132.42,132.77,132.31,98.14,29864000.0,0.0,1
2006-05-10,132.41,132.75,131.89,98.09,64378200.0,0.0,1
2006-05-11,132.51,132.55,130.52,96.91,80626900.0,0.0,1
2006-05-12,130.36,130.72,129.19,95.64,91726500.0,0.0,1
2006-05-15,128.79,129.74,128.61,95.83,84029300.0,0.0,1
2006-05-16,129.76,130.0,129.01,95.69,62137600.0,0.0,1
2006-05-17,128.67,129.1,126.77,93.87,144789500.0,0.0,1
2006-05-18,127.35,127.75,126.11,93.4,87906300.0,0.0,1
2006-05-19,126.87,127.49,125.8,94.06,124309400.0,0.0,1
2006-05-22,126.28,127.17,125.5,93.34,110852800.0,0.0,1
2006-05-23,127.18,127.63,125.17,92.63,92006500.0,0.0,1
2006-05-24,125.68,126.89,124.76,93.37,168405000.0,0.0,1
2006-05-25,126.92,127.73,126.43,94.52,78977900.0,0.0,1
2006-05-26,128.01,128.38,127.51,95.01,62989700.0,0.0,1
2006-05-30,127.97,128.0,126.05,93.32,72419900.0,0.0,1
2006-05-31,126.62,127.51,126.2,94.36,86926200.0,0.0,1
2006-06-01,127.38,128.94,127.27,95.26,73721700.0,0.0,1
2006-06-02,129.25,129.43,128.32,95.46,91702600.0,0.0,1
2006-06-05,128.85,128.86,126.77,94.07,86105100.0,0.0,1
2006-06-06,127.21,127.38,125.76,93.84,130498600.0,0.0,1
2006-06-07,126.91,127.65,125.79,93.14,108599400.0,0.0,1
2006-06-08,125.58,126.5,123.87,93.06,204957200.0,0.0,1
2006-06-09,126.36,126.96,125.29,92.76,94972200.0,0.0,1
2006-06-12,125.88,125.93,123.82,91.76,95815900.0,0.0,1
2006-06-13,123.74,124.84,122.55,90.69,185688800.0,0.0,1
